List_Number,Simple_Name,Simple_Name_With_Epithets,Full_Name,Broad_Dynasty,Family_Name,Reign_Start,Reign_End,Reign_Length_Years,Summary,Co_Emperor_Notes,Image_URL
11,Magnus Maximus,Magnus Maximus (Usurper),Magnus Clemens Maximus,,Magnus Maximus,383,388,5,Spanish-born general who usurped power in the west. Recognized by Theodosios initially. Executed after defeat by Theodosios.,Usurper; not recognized as legitimate by eastern sources,https://upload.wikimedia.org/wikipedia/commons/7/70/Rare_aureus_of_Magnus_Maximus_%28obverse_transparent%29.png
12,Valentinian II,Valentinian II,Flavius Valentinianus,Valentinianic,Valentinianus,375,392,17,"Son of Valentinian I, nominal western co-emperor from childhood. Real power held by others. Found dead, probably murdered, at age 21.",Nominal co-emperor from infancy alongside Gratian; controlled by Arbogast in later years,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Statue_of_emperor_Valentinian_II.JPG/500px-Statue_of_emperor_Valentinian_II.JPG
13,Theodosios I,Theodosios I the Great,Flavius Theodosius,Theodosian,Theodosios,379,395,16,Last emperor to rule a united empire. Made Nicene Christianity the state religion in 380. Defeated multiple usurpers. Divided the empire between his sons at death.,Co-ruled with Valentinian II and Gratian; divided empire between sons Arkadios and Honorius,https://upload.wikimedia.org/wikipedia/commons/f/f7/Bust_of_Theodosius_I.jpg
14,Arkadios,Arkadios,Flavius Arcadius,Theodosian,Theodosios,395,408,13,"Eastern emperor, son of Theodosios I. Weak ruler dominated by court factions. Oversaw expulsion of John Chrysostom.",Eastern Augustus from 383; co-emperor with father until 395,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Arcadius_Istanbul_Museum.JPG/500px-Arcadius_Istanbul_Museum.JPG
15,Theodosios II,Theodosios II,Flavius Theodosius,Theodosian,Theodosios,408,450,42,Built the Theodosian Walls. Convened the Council of Ephesos. Issued the Theodosian Law Code in 438. Largely dominated by his sister Pulcheria and senior officials.,Sole eastern emperor; western emperors ruled simultaneously,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Theodosius_II_Louvre_Ma1036.jpg/500px-Theodosius_II_Louvre_Ma1036.jpg
16,Markianos,Markianos,Flavius Marcianus,Theodosian,Non-dynastic,450,457,7,Military officer who married Pulcheria to gain the throne. Refused tribute to Attila. Presided over the Council of Chalkedon in 451.,Sole eastern emperor; western emperor Valentinian III ruled simultaneously until 455,https://upload.wikimedia.org/wikipedia/commons/3/39/Solidus_of_Marcian.png
17,Leo I,Leo I the Thracian,Flavius Valerius Leo,Leonid,Leo,457,474,17,First emperor crowned by the Patriarch of Constantinople. Broke the power of the general Aspar. Disastrous naval expedition against the Vandals in 468.,Made his grandson Leo II co-emperor shortly before death,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Leo_I_Louvre_Ma1012_n2.jpg/500px-Leo_I_Louvre_Ma1012_n2.jpg
18,Leo II,Leo II,Flavius Leo,Leonid,Leo,474,474,1,"Grandson of Leo I, child emperor. Co-ruled briefly with his father Zeno. Died young.",Co-emperor with grandfather Leo I; made his father Zeno co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Solidus_of_Leo_II.png/500px-Solidus_of_Leo_II.png
19,Zeno,Zeno,Flavius Zeno,Leonid,Non-dynastic,474,491,17,"Isaurian emperor. Sent Theoderic the Ostrogoth to Italy. Issued the Henotikon attempting to resolve Christological disputes, causing the Acacian Schism with Rome.",Initially co-emperor under Leo II; displaced by Basiliskos 475-476,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Solidus_of_Roman_emperor_Zeno.jpg/500px-Solidus_of_Roman_emperor_Zeno.jpg
20,Basiliskos,Basiliskos (Usurper),Flavius Basiliscus,,Basiliskos,475,476,1,Brother-in-law of Leo I who briefly seized power while Zeno fled. Supported Miaphysite theology. Overthrown when Zeno returned.,Usurper; made his son Marcus co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Solidus_of_emperor_Basiliscus.jpg/500px-Solidus_of_emperor_Basiliscus.jpg
21,Anastasios I,Anastasios I,Flavius Anastasius,,Non-dynastic,491,518,27,Civil servant who married the empress Ariadne. Sound financial administrator. Miaphysite sympathies caused religious unrest. Strengthened the Danube frontier.,Sole emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Flavius_Anastasius_Probus_01c_%28Anastasius_I%29_%28cropped%29.JPG/400px-Flavius_Anastasius_Probus_01c_%28Anastasius_I%29_%28cropped%29.JPG
22,Justin I,Justin I,Flavius Iustinus,Justinianic,Justinianus,518,527,9,"Illiterate Macedonian peasant who rose through the army. Orthodox in religion, ending the Acacian Schism. His nephew Justinian effectively co-ruled and succeeded him.",Made Justinian I co-emperor shortly before death,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Solidus_of_Justin_I_%28obverse%29.jpg/500px-Solidus_of_Justin_I_%28obverse%29.jpg
23,Justinian I,Justinian I the Great,Flavius Petrus Sabbatius Iustinianus,Justinianic,Justinianus,527,565,38,"Reconquered North Africa, Italy, and part of Spain. Issued the Corpus Juris Civilis. Built Hagia Sophia. The Justinianic Plague devastated the empire from 541.",Made his cousin Justin II co-emperor near end of reign,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Mosaic_of_Justinianus_I_-_Basilica_San_Vitale_%28Ravenna%29.jpg/400px-Mosaic_of_Justinianus_I_-_Basilica_San_Vitale_%28Ravenna%29.jpg
24,Justin II,Justin II,Flavius Iustinus,Justinianic,Justinianus,565,578,13,Nephew of Justinian I. Lost most of Italy to the Lombards after 568. Wars with Persia went badly. Suffered mental breakdown; wife Sophia governed in his later years.,Adopted Tiberios as Caesar and co-ruler in 574 due to his incapacity,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Solidus_of_Justin_II_%28obverse%29.jpg/500px-Solidus_of_Justin_II_%28obverse%29.jpg
25,Tiberios II,Tiberios II the Constantine,Flavius Tiberius Constantinus,,Non-dynastic,578,582,4,Popular general adopted by Justin II. Generous to the point of depleting the treasury. Fought Persia and faced Avar and Slav pressure on the Balkans.,Caesar and co-ruler from 574; sole emperor from 578,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Tiberios_II_%28obverse%29.jpg/500px-Tiberios_II_%28obverse%29.jpg
26,Maurikios,Maurikios,Flavius Mauricius Tiberius,,Non-dynastic,582,602,20,Capable military emperor. Stabilized the eastern frontier with Persia. Created the Exarchates of Ravenna and Carthage. Wrote a military manual. Executed with his sons by Phokas.,Made his son Theodosios co-emperor,https://upload.wikimedia.org/wikipedia/commons/3/3b/Solidus_of_Maurice_%28transitional_issue%29.png
27,Phokas,Phokas (Usurper),Flavius Phocas,,Non-dynastic,602,610,8,Low-ranking soldier who led a mutiny against Maurikios. Brutal reign marked by purges. Lost territory to Persia. Overthrown by Herakleios.,Sole emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Phocas%2C_British_Museum.jpg/500px-Phocas%2C_British_Museum.jpg
28,Herakleios,Herakleios,Flavius Heraclius,Heraklean,Herakleios,610,641,31,"Made Greek the official language. Dramatic comeback against Persia in the 620s recovered all lost territory. The Arab conquests then stripped away Egypt, Syria, and Mesopotamia permanently.",Made his sons Constantine III and Heraklonas co-emperors,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Heraclius_solidus.jpg/500px-Heraclius_solidus.jpg
29,Constantine III,Constantine III,Flavius Heracleus Novus Constantinus,Heraklean,Herakleios,641,641,1,"Son of Herakleios. Died after only a few months, possibly poisoned by his stepmother Martina.",Co-emperor with father from 613; briefly co-ruled with half-brother Heraklonas,https://upload.wikimedia.org/wikipedia/commons/d/db/Solidus_Heraclius_Constantine_Obverse.jpg
30,Heraklonas,Heraklonas,Flavius Heraclianus,Heraklean,Herakleios,641,641,1,Son of Herakleios and Martina. Child emperor ruled by his mother. Both exiled and mutilated after a few months.,Co-emperor with half-brother Constantine III; mother Martina held real power,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Heraclonas_on_Solidus.jpg/400px-Heraclonas_on_Solidus.jpg
31,Constans II,Constans II,Flavius Heracleus Constantinus,Heraklean,Herakleios,641,668,27,"Fought the Arab advance with limited success. Moved to Syracuse, the only emperor to abandon Constantinople. Murdered in his bath.","Made his sons Constantine IV, Herakleios, and Tiberios co-emperors",https://upload.wikimedia.org/wikipedia/commons/8/84/Solidus_Constans_II_%28obverse%29.jpg
32,Constantine IV,Constantine IV,Flavius Constantinus,Heraklean,Herakleios,668,685,17,Repelled the first Arab siege of Constantinople 674-678 using Greek fire. Convened the Third Council of Constantinople. Forced recognition of Bulgaria.,Co-emperor under Constans II; forced to demote brothers Herakleios and Tiberios as co-emperors,https://upload.wikimedia.org/wikipedia/commons/d/db/Solidus_Heraclius_Constantine_Obverse.jpg
33,Justinian II,Justinian II Slit-Nose,Flavius Justinianus,Heraklean,Herakleios,685,711,26,Deposed in 695 with his nose cut off and sent into exile. Returned with Bulgarian and Khazar support in 705. Second reign marked by vengeance and erratic behavior. Murdered in a military revolt. Both reigns combined into one row.,Sole emperor in first reign; made his son Tiberios co-emperor in second reign,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Justinian_ii_%282%29.png/500px-Justinian_ii_%282%29.png
34,Leontios,Leontios (Usurper),Leontius,,Non-dynastic,695,698,3,General who overthrew Justinian II. Himself deposed by Tiberios III. Later executed when Justinian II returned.,Sole ruler; usurper,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Solidus_of_Leontius.png/400px-Solidus_of_Leontius.png
35,Tiberios III,Tiberios III (Usurper),Tiberius Apsimarus,,Non-dynastic,698,705,7,Naval officer who overthrew Leontios. Reasonably competent reign. Executed when Justinian II returned.,Sole ruler; usurper,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Tiberius_III_solidus-2_%28cropped%29.png/500px-Tiberius_III_solidus-2_%28cropped%29.png
36,Philippikos,Philippikos (Usurper),Philippicus Bardanes,,Non-dynastic,711,713,2,Armenian general who overthrew Justinian II. Monothelite in theology. Overthrown by his own troops.,Sole ruler; usurper,https://upload.wikimedia.org/wikipedia/commons/4/48/Solidus_of_Philippicus.png
37,Anastasios II,Anastasios II,Flavius Artemius Anastasius,,Non-dynastic,713,715,2,Capable administrator who attempted to reform the army. Deposed by military revolt. Later attempted a comeback and was executed.,Sole emperor,https://upload.wikimedia.org/wikipedia/commons/7/7e/Anastasius_II_sb1464_%28obverse%29.jpg
38,Theodosios III,Theodosios III,Theodosius,,Non-dynastic,715,717,2,Tax official elevated by a mutinous army. Abdicated voluntarily in favor of Leo III.,Sole emperor,https://upload.wikimedia.org/wikipedia/commons/9/9c/Coin_of_Theodosius_III.png
39,Leo III,Leo III the Isaurian,Conon,Isaurian,Leo,717,741,24,Defended Constantinople against the second great Arab siege of 717-718. Initiated the iconoclast controversy from 726. Reorganized the theme system.,Made his son Constantine V co-emperor in 720,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Solidus_of_Leo_III_sb1504.png/500px-Solidus_of_Leo_III_sb1504.png
40,Constantine V,Constantine V the Dung-Named,Flavius Constantinus,Isaurian,Leo,741,775,34,"Vigorous military emperor and committed iconoclast. Convened the iconoclast Council of Hiereia in 754. Won significant victories against Bulgaria and the Arabs. Deeply reviled by later pro-icon sources, making his reign hard to evaluate fairly.",Co-emperor under Leo III from 720; displaced briefly by usurper Artabasdos 741-743; made his son Leo IV co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Solidus_of_Constantine_V_%28transparent_background%29.png/500px-Solidus_of_Constantine_V_%28transparent_background%29.png
41,Artabasdos,Artabasdos (Usurper),Artabasdus,,Artabasdos,741,743,2,Son-in-law of Leo III who briefly seized power during Constantine V's absence. Pro-icon. Defeated and blinded by Constantine V.,Usurper; made his sons co-emperors,https://upload.wikimedia.org/wikipedia/commons/f/f6/Solidus_of_Artabasdos.png
42,Leo IV,Leo IV the Khazar,Flavius Leo,Isaurian,Leo,775,780,5,"Son of Constantine V. Moderate iconoclast. Died young, leaving his widow Eirene as regent for Constantine VI.",Co-emperor under Constantine V; made his son Constantine VI co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Gold_Solidus_of_Leo_IV.jpg/500px-Gold_Solidus_of_Leo_IV.jpg
43,Constantine VI,Constantine VI,Flavius Constantinus,Isaurian,Leo,780,797,17,"Ruled under his mother Eirene's regency, then in his own right. Blinded and deposed by his own mother.",Co-emperor under Leo IV; ruled jointly with Eirene until he asserted sole rule,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/INC-3040-r_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_VI_%D0%B8_%D0%98%D1%80%D0%B8%D0%BD%D0%B0._793%E2%80%94979_%D0%B3%D0%B3._%28%D1%80%D0%B5%D0%B2%D0%B5%D1%80%D1%81%29.png/500px-INC-3040-r_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_VI_%D0%B8_%D0%98%D1%80%D0%B8%D0%BD%D0%B0._793%E2%80%94979_%D0%B3%D0%B3._%28%D1%80%D0%B5%D0%B2%D0%B5%D1%80%D1%81%29.png
44,Eirene,Eirene,Eirene,Isaurian,Non-dynastic,797,802,5,First woman to rule the empire in her own name. Restored icon veneration. Deposed by her own finance minister.,Had been regent and co-empress for Constantine VI before deposing him; ruled alone,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Gold_Solidus_of_Leo_IV.jpg/500px-Gold_Solidus_of_Leo_IV.jpg
45,Nikephoros I,Nikephoros I,Nicephorus,,Non-dynastic,802,811,9,"Finance minister who overthrew Eirene. Capable administrator. Killed fighting the Bulgarians at Pliska in 811, the first emperor to die in battle against a foreign enemy since Valens.",Made his son Staurakios co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/INC-1870-a_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%9D%D0%B8%D0%BA%D0%B8%D1%84%D0%BE%D1%80_I_%D0%B8_%D0%B5%D0%B3%D0%BE_%D1%81%D1%8B%D0%BD_%D0%A1%D1%82%D0%B0%D0%B2%D1%80%D0%B0%D0%BA%D0%B8%D0%B9._%D0%9E%D0%BA._803%E2%80%94811_%D0%B3%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png/500px-INC-1870-a_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%9D%D0%B8%D0%BA%D0%B8%D1%84%D0%BE%D1%80_I_%D0%B8_%D0%B5%D0%B3%D0%BE_%D1%81%D1%8B%D0%BD_%D0%A1%D1%82%D0%B0%D0%B2%D1%80%D0%B0%D0%BA%D0%B8%D0%B9._%D0%9E%D0%BA._803%E2%80%94811_%D0%B3%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png
46,Staurakios,Staurakios,Stauracius,,Non-dynastic,811,811,1,"Son of Nikephoros I, wounded in the same battle as his father. Died of his wounds after a few months.",Co-emperor under Nikephoros I,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/INC-1546-r_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4_%D0%9D%D0%B8%D0%BA%D0%B8%D1%84%D0%BE%D1%80_I_%D0%B8_%D0%A1%D1%82%D0%B0%D0%B2%D1%80%D0%B0%D0%BA%D0%B8%D0%B9_%D0%BE%D0%BA._803-811_%D0%B3%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png/500px-INC-1546-r_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4_%D0%9D%D0%B8%D0%BA%D0%B8%D1%84%D0%BE%D1%80_I_%D0%B8_%D0%A1%D1%82%D0%B0%D0%B2%D1%80%D0%B0%D0%BA%D0%B8%D0%B9_%D0%BE%D0%BA._803-811_%D0%B3%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png
47,Michael I,Michael I Rhangabe,Michael Rhangabe,,Rhangabe,811,813,2,"Brother-in-law of Staurakios. Pious and ineffective. Lost a major battle to Bulgaria and abdicated, becoming a monk.",Made his sons co-emperors,https://upload.wikimedia.org/wikipedia/commons/d/dc/Michael_II_in_the_Madrid_Skylitzes.jpg
48,Leo V,Leo V the Armenian,Leo,,Non-dynastic,813,820,7,General who overthrew Michael I. Revived iconoclasm. Murdered in the palace chapel on Christmas Day.,Made his son Symbatios co-emperor,https://upload.wikimedia.org/wikipedia/commons/8/89/Leo_V_in_Madrid_Skylitzes.jpg
49,Michael II,Michael II the Amorian,Michael,Amorian,Amorian,820,829,9,Low-born soldier who murdered Leo V. Founded the Amorian dynasty. Moderate iconoclast. Faced the serious revolt of Thomas the Slav.,Made his son Theophilos co-emperor,https://upload.wikimedia.org/wikipedia/commons/d/dc/Michael_II_in_the_Madrid_Skylitzes.jpg
50,Theophilos,Theophilos,Theophilus,Amorian,Amorian,829,842,13,"Cultivated, architecturally ambitious emperor. Last iconoclast emperor. Fought the Arabs with mixed results.",Co-emperor under Michael II; made his son Michael III co-emperor,https://upload.wikimedia.org/wikipedia/commons/3/3e/Theophilos_%28cropped%29.jpg
51,Michael III,Michael III the Drunkard,Michael,Amorian,Amorian,842,867,25,Last of the Amorian dynasty. Child emperor under his mother Theodora's regency. Icon veneration permanently restored in 843. Christianization of the Slavs began under his reign. Murdered by Basil I.,Made Basil I co-emperor in 866,https://upload.wikimedia.org/wikipedia/commons/0/0e/Michael_iii.jpg
52,Basil I,Basil I the Macedonian,Basil,Macedonian,Makedon,867,886,19,Macedonian peasant who rose to become co-emperor and murdered Michael III. Founded the Macedonian dynasty. Capable military and legislative emperor.,Co-emperor under Michael III 866-867; made sons Konstantinos and Leo VI co-emperors,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Roman_Emperor_Basil_I.png/500px-Roman_Emperor_Basil_I.png
53,Leo VI,Leo VI the Wise,Leo,Macedonian,Makedon,886,912,26,Prolific legislator who completed the Basilika law code. Fourth marriage caused a major church crisis. Military reverses against Bulgaria and the Arabs.,Co-emperor under Basil I from 870; made his brother Alexander co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Emperor_Leo_VI_detail.jpg/500px-Emperor_Leo_VI_detail.jpg
54,Alexander,Alexander,Alexander,Macedonian,Makedon,912,913,1,"Brother of Leo VI. Brief sole reign. Repudiated peace with Bulgaria, leading to devastating war. Died of illness.",Co-emperor under Leo VI for decades; brief sole reign,https://upload.wikimedia.org/wikipedia/commons/1/1d/Alexandros_mosaic.jpg
55,Constantine VII,Constantine VII the Purple-Born,Constantine,Macedonian,Makedon,913,959,46,Long reign mostly spent under regencies and the domination of Romanos I Lekapenos. A patron of learning who wrote important administrative and ceremonial texts.,Nominal emperor from infancy; dominated by Romanos I Lekapenos 920-944; made his son Romanos II co-emperor,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Constantine_VII_Porphyrogenitus_%282%29.jpeg/500px-Constantine_VII_Porphyrogenitus_%282%29.jpeg
56,Romanos I,Romanos I Lekapenos,Romanos Lekapenos,Macedonian,Lekapenos,920,944,24,Admiral who married his daughter to Constantine VII and made himself senior emperor. Issued legislation protecting small farmers. Deposed by his own sons.,Senior co-emperor alongside the legitimate Constantine VII; made his sons co-emperors,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Seal_of_Romanos_I_Lekapenos.png/500px-Seal_of_Romanos_I_Lekapenos.png
57,Romanos II,Romanos II,Romanos,Macedonian,Makedon,959,963,4,Son of Constantine VII. Short reign. The general Nikephoros Phokas won major victories against the Arabs. Died young under suspicious circumstances.,Co-emperor under Constantine VII from 945; made his sons Basil II and Constantine VIII co-emperors,https://upload.wikimedia.org/wikipedia/commons/1/1c/Romanos_et_Eudoxie_%28cropped2%29.JPG
58,Nikephoros II,Nikephoros II Phokas,Nicephorus Phocas,Macedonian,Phokas,963,969,6,Great general who conquered Cilicia and parts of Syria. Married the empress-widow Theophano. Murdered by his nephew John Tzimiskes.,Ruled alongside the child co-emperors Basil II and Constantine VIII,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Nikephoros_Phokas.jpg/500px-Nikephoros_Phokas.jpg
59,John I,John I Tzimiskes,John Tzimiskes,Macedonian,Tzimiskes,969,976,7,"Brilliant military emperor who murdered Nikephoros II. Pushed deep into Syria and Palestine. Died of illness, possibly poisoned.",Ruled alongside the child co-emperors Basil II and Constantine VIII,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Bamberg_Gunthertuch.jpg/500px-Bamberg_Gunthertuch.jpg
60,Basil II,Basil II the Bulgar-Slayer,Basil,Macedonian,Makedon,976,1025,49,"Longest-reigning Byzantine emperor. Destroyed Bulgaria in a long war, blinding 15,000 prisoners. Christianized Kievan Rus through the baptism of Vladimir I. Left the treasury overflowing.",Co-emperor from infancy under Nikephoros II and John I Tzimiskes; ruled alongside brother Constantine VIII throughout,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Basilios_II.jpg/500px-Basilios_II.jpg
61,Constantine VIII,Constantine VIII,Constantine,Macedonian,Makedon,1025,1028,3,"Brother of Basil II, nominal co-emperor for decades. Sole reign was short and ineffective. Married his daughter Zoe to a series of emperors.",Co-emperor under Basil II for nearly 50 years; brief sole reign,https://upload.wikimedia.org/wikipedia/commons/8/88/Constantine_VIII_in_the_Exultet_roll_%282%29.jpg
62,Romanos III,Romanos III Argyros,Romanos Argyros,Macedonian,Argyros,1028,1034,6,"Prefect of Constantinople who married the empress Zoe. Pretentious and militarily incompetent. Found drowned in his bath, almost certainly murdered.",Ruled jointly with empress Zoe,https://upload.wikimedia.org/wikipedia/commons/5/5d/Romanos_III_in_Madrid_Skylitzes.png
63,Michael IV,Michael IV the Paphlagonian,Michael,Macedonian,Paphlagonians,1034,1041,7,Young man of humble origin who caught empress Zoe's attention. Real power held by his brother John the Orphanotrophos. Suffered from epilepsy.,Ruled jointly with empress Zoe; his nephew Michael V was made co-emperor near end of reign,https://upload.wikimedia.org/wikipedia/commons/b/b0/Michael_IV_the_Paphlagonian_%28cropped%29.jpg
64,Michael V,Michael V the Caulker,Michael Kalaphates,Macedonian,Paphlagonians,1041,1042,1,"Nephew of Michael IV, adopted by Zoe. Attempted to exile Zoe and rule alone, triggering a popular revolt. Blinded and deposed.",Initially co-emperor with empress Zoe; attempted sole rule,https://upload.wikimedia.org/wikipedia/commons/5/5f/Michael_V_in_Madrid_Skylitzes.jpg
65,Zoe,Zoe (with Theodora),Zoe Porphyrogenita,Macedonian,Makedon,1042,1042,1,Daughter of Constantine VIII. Briefly ruled jointly with her sister Theodora after the people of Constantinople overthrew Michael V.,Ruled jointly with sister Theodora,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Zoe_mosaic_Hagia_Sophia.jpg/400px-Zoe_mosaic_Hagia_Sophia.jpg
